side,event_day,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,stop_fraction,notional,underlying_return,net_account_contribution,exit_reason,ambiguous_bar_loss_first
long,2021-12-30,2021-12-31 00:01:00,2022-01-06 05:32:00,3712.57,3569.75,3575.16,3987.390000000001,0.037012096741610344,0.13509096863401468,-0.03846930832280604,-0.005331947092642446,stop,False
long,2022-01-09,2022-01-10 00:01:00,2022-01-10 22:17:00,3101.66,2996.8,2997.26,3310.459999999999,0.03365939529155344,0.14854693486590087,-0.0338077029719569,-0.005170577586206906,stop,False
long,2022-01-10,2022-01-11 00:01:00,2022-01-12 00:07:00,3000.04,3170.33,2917.12,3165.88,0.027639631471580405,0.1808996623251325,0.05676257649898009,0.010087431259044866,target,False
short,2022-02-10,2022-02-11 00:01:00,2022-02-11 08:20:00,3203.43,3036.05,3288.0,3034.2899999999995,0.026399827684700516,0.18939517559418195,0.052250244269423596,0.009706549012652199,target,False
long,2022-02-21,2022-02-22 00:01:00,2022-02-22 05:57:00,2722.7,2577.3,2571.0,3026.0999999999995,0.05571675175377377,0.08973961766644703,-0.05340287214896966,-0.0048820929466051365,stop,False
long,2022-02-22,2022-02-23 00:01:00,2022-02-24 10:59:00,2628.05,2498.97,2496.0,2892.1500000000005,0.05024638039611125,0.09950965543354777,-0.0491162649112461,-0.0049870522529345,stop,False
short,2022-03-22,2022-03-23 00:01:00,2022-03-24 08:14:00,3001.3,3074.8,3054.9,2894.1000000000004,0.01785892779795419,0.2799720149253736,-0.024489387931896145,-0.007136315298507465,stop,False
short,2022-03-25,2022-03-26 00:01:00,2022-03-28 04:38:00,3117.38,3218.62,3210.0,2932.1400000000003,0.029710846929152008,0.16828870654286351,-0.032475989452681375,-0.00563363096523429,stop,False
short,2022-04-01,2022-04-02 00:01:00,2022-04-02 08:47:00,3437.69,3496.92,3494.53,3324.0099999999998,0.01653435882816663,0.3,-0.017229593127943588,-0.005468877938383076,stop,False
short,2022-04-02,2022-04-03 00:01:00,2022-04-03 14:06:00,3460.74,3494.96,3532.88,3316.459999999999,0.020845252749412072,0.23986276684225008,-0.009888058623300333,-0.0026116398669254384,stop,False
short,2022-04-03,2022-04-04 00:01:00,2022-04-04 06:02:00,3499.09,3540.7,3533.0,3431.2700000000004,0.009691091112260575,0.3,-0.011891663261019092,-0.0038674989783057273,stop,False
short,2022-04-04,2022-04-05 00:01:00,2022-04-11 17:59:00,3419.0,3101.04,3580.12,3096.76,0.047124890318806636,0.10610104270109243,0.09299795261772448,0.009761078699106264,target,False
long,2022-04-27,2022-04-28 00:01:00,2022-05-01 07:03:00,2866.96,2761.39,2762.2,3076.4800000000005,0.03654044702402552,0.1368346697212674,-0.036822976253592765,-0.0051754944635357064,stop,False
long,2022-05-01,2022-05-02 00:01:00,2022-05-06 02:25:00,2807.55,2713.52,2713.0,2996.6500000000005,0.0336770493846949,0.14846906398730803,-0.03349183451764004,-0.005120970386039138,stop,False
long,2022-05-10,2022-05-11 00:01:00,2022-05-11 20:50:00,2364.0,2189.34,2198.02,2695.96,0.07021150592216582,0.07121339920472346,-0.07388324873096441,-0.00533269068562477,stop,False
long,2022-05-11,2022-05-12 00:01:00,2022-05-12 03:40:00,2259.7,2122.21,2115.27,2548.5599999999995,0.063915564012922,0.07822820743612831,-0.060844359870779186,-0.004837973412725884,stop,False
long,2022-05-26,2022-05-27 00:01:00,2022-05-27 10:03:00,1860.39,1734.26,1730.6,2119.9700000000003,0.06976494175952364,0.07166923491794427,-0.06779761232859782,-0.004930672239771936,stop,False
long,2022-05-27,2022-05-28 00:01:00,2022-05-28 07:41:00,1762.27,1713.1,1711.0,1864.81,0.029093158256112844,0.17186171250243815,-0.02790151338898128,-0.004967063584942468,stop,False
