timestamp,side,sweep_low,sweep_high,prior_high,prior_low,bar_high,bar_low,bar_close,event_day,available_time
2025-05-30,short,False,True,2738.56,2035.12,2788.87,2609.01,2642.48,2025-05-29,2025-05-30
2025-06-11,short,False,True,2788.87,2380.01,2798.59,2532.79,2731.53,2025-06-10,2025-06-11
2025-06-22,long,True,False,2878.59,2380.01,2495.37,2363.0,2422.21,2025-06-21,2025-06-22
2025-06-24,long,True,False,2878.59,2154.0,2313.0,2108.47,2247.68,2025-06-23,2025-06-24
2025-07-15,short,False,True,3040.0,2187.1,3084.2,2938.23,3013.3,2025-07-14,2025-07-15
2025-07-29,short,False,True,3859.98,2509.09,3942.49,3773.01,3806.61,2025-07-28,2025-07-29
2025-08-11,short,False,True,4248.9,3353.44,4334.57,4160.12,4217.63,2025-08-10,2025-08-11
2025-08-12,short,False,True,4334.57,3353.44,4349.83,4165.68,4329.19,2025-08-11,2025-08-12
2025-08-15,short,False,True,4737.46,3353.44,4794.89,4455.34,4620.01,2025-08-14,2025-08-15
2025-08-24,short,False,True,4794.89,3353.44,4888.0,4615.35,4749.22,2025-08-23,2025-08-24
2025-08-26,short,False,True,4888.0,3543.0,4958.69,4518.0,4610.2,2025-08-25,2025-08-26
2025-09-27,long,True,False,4768.0,3920.0,4004.0,3820.01,3943.81,2025-09-26,2025-09-27
2025-10-08,short,False,True,4693.0,3820.01,4754.37,4476.0,4510.48,2025-10-07,2025-10-08
2025-10-12,long,True,False,4754.37,3820.01,4135.81,3355.12,3822.61,2025-10-11,2025-10-12
2025-11-18,long,True,False,4231.63,3054.0,3222.0,3001.19,3119.52,2025-11-17,2025-11-18
2025-11-19,long,True,False,4149.98,3001.19,3141.97,2943.11,3105.1,2025-11-18,2025-11-19
2025-11-21,long,True,False,3917.35,2943.11,3063.16,2871.54,2954.39,2025-11-20,2025-11-21
2025-12-12,short,False,True,3398.28,2621.19,3446.0,3142.38,3177.92,2025-12-11,2025-12-12
2026-01-16,short,False,True,3398.0,2888.52,3403.44,3272.37,3329.86,2026-01-15,2026-01-16
2026-01-22,long,True,False,3403.44,2956.02,3041.76,2891.0,3000.96,2026-01-21,2026-01-22
2026-01-23,long,True,False,3403.44,2891.0,3068.34,2863.7,2940.26,2026-01-22,2026-01-23
2026-01-27,long,True,False,3403.44,2863.7,2950.0,2784.0,2897.99,2026-01-26,2026-01-27
2026-02-03,long,True,False,3403.44,2237.0,2395.92,2155.0,2371.07,2026-02-02,2026-02-03
2026-02-07,long,True,False,3368.8,1925.35,2017.39,1740.0,1979.36,2026-02-06,2026-02-07
2026-02-27,short,False,True,2151.45,1740.0,2155.08,2010.49,2032.77,2026-02-26,2026-02-27
2026-03-05,short,False,True,2155.08,1794.49,2160.25,1943.59,2149.66,2026-03-04,2026-03-05
2026-03-06,short,False,True,2160.25,1794.49,2201.43,2066.18,2086.12,2026-03-05,2026-03-06
2026-03-14,short,False,True,2201.43,1794.49,2209.0,2043.76,2127.26,2026-03-13,2026-03-14
2026-03-31,long,True,False,2386.76,1962.54,2084.81,1936.0,2073.3,2026-03-30,2026-03-31
2026-04-09,short,False,True,2233.09,1936.0,2273.53,2076.22,2214.67,2026-04-08,2026-04-09
2026-04-13,short,False,True,2273.53,1936.0,2329.85,2173.0,2185.5,2026-04-12,2026-04-13
2026-04-19,short,False,True,2457.0,1936.0,2464.99,2342.51,2362.25,2026-04-18,2026-04-19
2026-05-16,long,True,False,2423.77,2218.82,2318.55,2203.25,2221.67,2026-05-15,2026-05-16
2026-05-20,long,True,False,2423.77,2081.14,2146.61,2076.01,2109.28,2026-05-19,2026-05-20
2026-06-02,long,True,False,2345.13,1965.28,2022.4,1955.0,1967.73,2026-06-01,2026-06-02
2026-07-08,short,False,True,1809.78,1511.0,1834.0,1756.33,1796.67,2026-07-07,2026-07-08
2026-07-14,short,False,True,1834.0,1511.0,1846.36,1760.87,1775.87,2026-07-13,2026-07-14
2026-07-22,short,False,True,1946.0,1551.6,1952.66,1888.2,1930.88,2026-07-21,2026-07-22
2026-07-23,short,False,True,1952.66,1596.32,1956.86,1909.27,1941.95,2026-07-22,2026-07-23
2026-07-28,short,False,True,1956.86,1712.32,1982.29,1907.73,1926.73,2026-07-27,2026-07-28
