definition,side,signal_available_time,exit_time,gross_return_24h,net_return_24h
adjacent_fast,short,2022-02-19 00:00:00,2022-02-20 00:00:00,0.019809191922077196,0.018809191922077195
adjacent_fast,short,2022-02-19 20:00:00,2022-02-20 20:00:00,0.029365630383913155,0.028365630383913154
adjacent_fast,short,2022-02-24 12:00:00,2022-02-25 12:00:00,-0.10005924862726778,-0.10105924862726778
adjacent_fast,short,2022-03-05 04:00:00,2022-03-06 04:00:00,-0.01998731449357316,-0.02098731449357316
adjacent_fast,short,2022-03-07 08:00:00,2022-03-08 08:00:00,0.022831999309784856,0.021831999309784855
adjacent_fast,short,2022-03-08 04:00:00,2022-03-09 04:00:00,-0.04897496157630643,-0.04997496157630643
adjacent_fast,short,2022-03-14 08:00:00,2022-03-15 08:00:00,-0.029542490935691168,-0.03054249093569117
adjacent_fast,short,2022-04-06 08:00:00,2022-04-07 08:00:00,0.06992867357515997,0.06892867357515997
adjacent_fast,short,2022-04-07 08:00:00,2022-04-08 08:00:00,-0.018706607773740114,-0.019706607773740115
adjacent_fast,short,2022-04-11 20:00:00,2022-04-12 20:00:00,0.003521172937458128,0.002521172937458128
adjacent_fast,short,2022-04-18 16:00:00,2022-04-19 16:00:00,-0.050646786468832916,-0.05164678646883292
adjacent_fast,short,2022-04-25 16:00:00,2022-04-26 16:00:00,-0.06798395356777043,-0.06898395356777043
adjacent_fast,short,2022-05-01 08:00:00,2022-05-02 08:00:00,-0.03563899022861028,-0.03663899022861028
adjacent_fast,short,2022-05-06 00:00:00,2022-05-07 00:00:00,0.019614350789789348,0.018614350789789347
adjacent_fast,short,2022-05-06 20:00:00,2022-05-07 20:00:00,-0.005004840379605469,-0.006004840379605469
adjacent_fast,short,2022-05-08 12:00:00,2022-05-09 12:00:00,0.03484468318196288,0.033844683181962876
adjacent_fast,short,2022-05-26 20:00:00,2022-05-27 20:00:00,0.024829469442135266,0.023829469442135265
adjacent_fast,short,2022-06-12 12:00:00,2022-06-13 12:00:00,0.07825974238620237,0.07725974238620237
adjacent_fast,short,2022-06-30 16:00:00,2022-07-01 16:00:00,-0.008813155431154351,-0.009813155431154352
adjacent_fast,short,2022-07-12 08:00:00,2022-07-13 08:00:00,0.05295791086147783,0.05195791086147783
adjacent_fast,short,2022-07-12 16:00:00,2022-07-13 16:00:00,-5.6123021663578854e-05,-0.0010561230216635789
adjacent_fast,short,2022-07-13 04:00:00,2022-07-14 04:00:00,-0.0341101206485821,-0.0351101206485821
adjacent_fast,short,2022-07-26 08:00:00,2022-07-27 08:00:00,-0.004967565129913032,-0.005967565129913032
adjacent_fast,short,2022-08-02 04:00:00,2022-08-03 04:00:00,-0.008738576068133774,-0.009738576068133775
adjacent_fast,short,2022-08-02 12:00:00,2022-08-03 12:00:00,-0.026868529331583568,-0.02786852933158357
adjacent_fast,short,2022-08-18 00:00:00,2022-08-19 00:00:00,-0.022547440273037456,-0.023547440273037457
adjacent_fast,short,2022-08-19 16:00:00,2022-08-20 16:00:00,0.05618209324714618,0.05518209324714618
adjacent_fast,short,2022-08-20 08:00:00,2022-08-21 08:00:00,0.020476542734059855,0.019476542734059854
adjacent_fast,short,2022-08-21 04:00:00,2022-08-22 04:00:00,-0.03783980722152269,-0.03883980722152269
adjacent_fast,short,2022-08-27 08:00:00,2022-08-28 08:00:00,0.01087374776089689,0.00987374776089689
adjacent_fast,short,2022-08-29 08:00:00,2022-08-30 08:00:00,-0.08745364431078118,-0.08845364431078118
adjacent_fast,short,2022-09-07 12:00:00,2022-09-08 12:00:00,-0.07893882902988691,-0.07993882902988692
adjacent_fast,short,2022-09-16 00:00:00,2022-09-17 00:00:00,0.02825565983425471,0.02725565983425471
adjacent_fast,short,2022-09-19 04:00:00,2022-09-20 04:00:00,0.013347818214738405,0.012347818214738404
adjacent_fast,short,2022-09-19 08:00:00,2022-09-20 08:00:00,-0.030811653278983497,-0.0318116532789835
adjacent_fast,short,2022-09-19 12:00:00,2022-09-20 12:00:00,-0.046686293145413504,-0.047686293145413505
adjacent_fast,short,2022-09-22 08:00:00,2022-09-23 08:00:00,-0.06510809855761512,-0.06610809855761512
adjacent_fast,short,2022-10-03 08:00:00,2022-10-04 08:00:00,-0.036333873759565316,-0.03733387375956532
adjacent_fast,short,2022-10-11 08:00:00,2022-10-12 08:00:00,0.007850826545558687,0.006850826545558687
adjacent_fast,short,2022-11-08 12:00:00,2022-11-09 12:00:00,0.1290459570289172,0.1280459570289172
adjacent_fast,short,2022-11-20 20:00:00,2022-11-21 20:00:00,0.03652573072871623,0.03552573072871623
adjacent_fast,short,2022-11-21 08:00:00,2022-11-22 08:00:00,0.030708895775338307,0.029708895775338306
adjacent_fast,short,2022-11-22 04:00:00,2022-11-23 04:00:00,-0.033455545371219086,-0.03445554537121909
adjacent_fast,short,2022-12-07 16:00:00,2022-12-08 16:00:00,-0.006558528537358388,-0.007558528537358388
adjacent_fast,short,2022-12-16 20:00:00,2022-12-17 20:00:00,0.02667128507100791,0.02567128507100791
adjacent_fast,short,2022-12-17 08:00:00,2022-12-18 08:00:00,-0.017062886721629145,-0.018062886721629146
adjacent_fast,short,2023-02-10 04:00:00,2023-02-11 04:00:00,0.028522586976479136,0.027522586976479135
adjacent_fast,short,2023-03-10 04:00:00,2023-03-11 04:00:00,0.04334124002983486,0.04234124002983486
adjacent_fast,short,2023-04-22 04:00:00,2023-04-23 04:00:00,-0.015797385372630535,-0.016797385372630536
adjacent_fast,short,2023-05-02 04:00:00,2023-05-03 04:00:00,-0.030521804834733324,-0.031521804834733325
adjacent_fast,short,2023-05-12 12:00:00,2023-05-13 12:00:00,-0.023829502545668957,-0.024829502545668958
adjacent_fast,short,2023-06-10 16:00:00,2023-06-11 16:00:00,-0.011502146913523248,-0.012502146913523249
adjacent_fast,short,2023-06-15 08:00:00,2023-06-16 08:00:00,-0.009394932430386138,-0.010394932430386139
adjacent_fast,short,2023-07-07 08:00:00,2023-07-08 08:00:00,-0.013912214360785713,-0.014912214360785714
adjacent_fast,short,2023-08-18 00:00:00,2023-08-19 00:00:00,0.04519137339228518,0.04419137339228518
adjacent_fast,short,2023-09-12 04:00:00,2023-09-13 04:00:00,-0.03824341442816781,-0.03924341442816781
adjacent_fast,short,2023-09-21 20:00:00,2023-09-22 20:00:00,-0.001335490181325616,-0.002335490181325616
adjacent_fast,short,2023-10-09 20:00:00,2023-10-10 20:00:00,0.007303536747097716,0.006303536747097716
adjacent_fast,short,2023-11-27 20:00:00,2023-11-28 20:00:00,-0.0014764046830173516,-0.0024764046830173516
adjacent_fast,short,2023-11-28 04:00:00,2023-11-29 04:00:00,-0.03248397106520362,-0.03348397106520362
