test_month,feature,coefficient
2025-12-01,close_location,-0.0017895395901439141
2025-12-01,body_fraction,-0.0005208836047665028
2025-12-01,range_over_20d,0.0032858477671168515
2025-12-01,realized_vol_30d,-0.001057418161914151
2025-12-01,distance_high_20d,-0.005613803676326291
2025-12-01,distance_low_20d,-0.0015354471797693362
2026-01-01,return_1d,0.004282929770337145
2026-01-01,return_3d,0.0004966348153997216
2026-01-01,return_7d,0.0008192202107823143
2026-01-01,return_14d,0.0027044746430278837
2026-01-01,return_30d,0.0036491805081984748
2026-01-01,return_90d,-0.00019521706550197984
2026-01-01,close_location,-0.00181646951961818
2026-01-01,body_fraction,-0.0005926274707548433
2026-01-01,range_over_20d,0.0035826415449434334
2026-01-01,realized_vol_30d,-0.0009470283062918243
2026-01-01,distance_high_20d,-0.005777660299621733
2026-01-01,distance_low_20d,-0.0013004962848091012
2026-02-01,return_1d,0.0039029816508521116
2026-02-01,return_3d,0.0006141933435856267
2026-02-01,return_7d,0.0006367780352871972
2026-02-01,return_14d,0.003528269234403173
2026-02-01,return_30d,0.0032864613432107464
2026-02-01,return_90d,3.768421243178628e-05
2026-02-01,close_location,-0.0014297086345656778
