sleeve,side,entry_time,exit_time,bars,days,gross_contribution,max_notional
swing_long,LONG,2025-11-30 20:45:00,2025-12-01 08:15:00,46,0.4791666666666667,-0.0036268046111290106,0.09937319615367098
swing_long,LONG,2025-12-25 00:45:00,2025-12-28 00:45:00,288,3.0,-0.0004713865888602874,0.0713138463775245
swing_long,LONG,2025-12-30 16:15:00,2026-01-02 16:15:00,288,3.0,0.000823167773253897,0.06087616591171124
swing_long,LONG,2026-02-11 08:30:00,2026-02-11 12:30:00,16,0.16666666666666666,-0.0017450660650292652,0.082641538016341
swing_long,LONG,2026-03-31 21:15:00,2026-04-02 01:15:00,112,1.1666666666666667,0.002643097977821283,0.05918444696297733
swing_long,LONG,2026-04-06 02:45:00,2026-04-06 17:30:00,59,0.6145833333333334,0.0030388240704154615,0.06787150273673317
swing_long,LONG,2026-06-26 14:30:00,2026-06-29 14:30:00,288,3.0,0.0013926839582232447,0.08859481955266552
swing_long,LONG,2026-06-29 18:15:00,2026-06-29 22:15:00,16,0.16666666666666666,-0.002925149045380095,0.19896066432258483
swing_short,SHORT,2022-02-10 11:00:00,2022-02-10 19:45:00,35,0.3645833333333333,-0.0025486343607556083,0.1003496162008043
swing_short,SHORT,2022-03-20 06:15:00,2022-03-22 11:30:00,213,2.21875,-0.003978598482674071,0.12951196065327647
swing_short,SHORT,2022-03-23 07:45:00,2022-03-23 23:45:00,64,0.6666666666666666,-0.0034518519550067236,0.15800230252897865
swing_short,SHORT,2022-04-04 09:00:00,2022-04-06 22:00:00,244,2.5416666666666665,0.0059331500532876355,0.0926477685603075
swing_short,SHORT,2022-06-26 21:00:00,2022-06-27 02:30:00,22,0.22916666666666666,0.004960818813567776,0.24229957864776583
swing_short,SHORT,2022-06-27 13:30:00,2022-06-29 08:15:00,171,1.78125,0.005098516140038596,0.08861747526274397
swing_short,SHORT,2022-07-25 08:30:00,2022-07-27 03:15:00,171,1.78125,0.006162310048105327,0.04581946250858559
swing_short,SHORT,2022-08-04 06:30:00,2022-08-05 19:30:00,148,1.5416666666666667,-0.003315099361646923,0.08212330179990035
swing_short,SHORT,2022-09-12 06:00:00,2022-09-13 21:30:00,158,1.6458333333333333,0.005944808493458015,0.08452094430655087
swing_short,SHORT,2022-11-03 04:15:00,2022-11-04 22:15:00,168,1.75,-0.003218754329883312,0.0409489568531301
swing_short,SHORT,2022-12-03 14:15:00,2022-12-06 14:15:00,288,3.0,0.0021323138875866503,0.11969996735879272
swing_short,SHORT,2023-02-05 07:45:00,2023-02-06 02:15:00,74,0.7708333333333334,0.004956235366897963,0.1992891854893896
swing_short,SHORT,2023-02-28 02:30:00,2023-03-01 17:00:00,154,1.6041666666666667,-0.002492053099837977,0.10198563990594545
swing_short,SHORT,2023-03-27 04:45:00,2023-03-29 14:30:00,231,2.40625,-0.0016683723542663302,0.05697279441120851
swing_short,SHORT,2023-04-01 13:30:00,2023-04-03 09:45:00,177,1.84375,0.0030611372191467197,0.10849947379319912
swing_short,SHORT,2023-06-05 07:00:00,2023-06-05 11:00:00,16,0.16666666666666666,0.0017200300145187308,0.125
swing_short,SHORT,2023-09-04 09:30:00,2023-09-07 02:00:00,258,2.6875,-0.0005232817135096268,0.0625
swing_short,SHORT,2023-10-07 11:00:00,2023-10-09 18:00:00,220,2.2916666666666665,0.001516601464864259,0.05085624627301878
swing_short,SHORT,2023-10-30 10:30:00,2023-10-30 16:45:00,25,0.2604166666666667,-0.0007964105170831337,0.042277986785115754
swing_short,SHORT,2023-10-31 15:00:00,2023-11-01 08:30:00,70,0.7291666666666666,-0.0006890116228679161,0.04955629663124574
swing_short,SHORT,2023-11-29 22:45:00,2023-12-01 09:45:00,140,1.4583333333333333,-0.0008376125608883047,0.044491971574193614
swing_short,SHORT,2023-12-09 22:45:00,2023-12-11 10:15:00,142,1.4791666666666667,0.003550054532069798,0.05698906311005995
swing_short,SHORT,2023-12-19 20:45:00,2023-12-19 23:15:00,10,0.10416666666666667,0.00227331096279397,0.125
