variant,expiry_minutes,target_r,year,n_placed,n_filled,fill_rate,win_rate_15bp,avg_gross_r,median_gross_r,avg_net_r_11bp,avg_net_r_15bp,avg_net_r_20bp,profit_factor_15bp,t_stat_15bp
V1_balanced,180,1.0,2023,2067,1986,0.9608127721335269,0.34541792547834843,-0.03369238643631056,-0.9999999999998148,-0.7033080225956001,-0.9468046175626145,-1.2511753612713825,0.14809197555751866,-24.564910560437813
V1_balanced,180,1.0,2024,1717,1629,0.9487478159580663,0.4665438919582566,0.02689297324451128,0.5913426265590771,-0.34923014118815715,-0.48600218280003654,-0.6569672348148858,0.3509848955632559,-18.45141572810341
V1_balanced,180,1.0,2025,1811,1729,0.9547211485367201,0.4574898785425101,-0.008217794937684797,-0.24553314121037115,-0.33751195173327936,-0.4572552814771319,-0.6069344436569476,0.3776627081248009,-18.101530735592895
V1_balanced,180,1.0,2026,1118,1073,0.9597495527728086,0.4277726001863933,-0.0058696208292153456,-0.0721442885771229,-0.40322677094538334,-0.5477202800785355,-0.7283371664949753,0.3066790167076672,-16.737678285758452
V1_balanced,180,1.0,ALL,6713,6417,0.9559064501713094,0.42013401901199937,-0.0067961814935653675,-0.04947916666664671,-0.4646853861059072,-0.6311905514194859,-0.8393220080614594,0.26956224739804624,-38.39552893872172
V1_balanced,180,1.5,2023,2067,1986,0.9608127721335269,0.3298086606243706,-0.07215961424842389,-0.9999999999999735,-0.7417752504077135,-0.9852718453747278,-1.289642589083496,0.20729954576413,-23.9428897812303
V1_balanced,180,1.5,2024,1717,1629,0.9487478159580663,0.3984039287906691,0.01799438412047336,-0.9999999999999802,-0.3581287303121951,-0.4949007719240745,-0.6658658239389238,0.43741531670328454,-15.863847176972302
V1_balanced,180,1.5,2025,1811,1729,0.9547211485367201,0.39791787160208214,0.0016402565123242207,-0.9999999999999842,-0.32765390028327035,-0.44739723002712295,-0.5970763922069384,0.475020140799131,-14.902230966820886
V1_balanced,180,1.5,2026,1118,1073,0.9597495527728086,0.3783783783783784,-0.011816879424252668,-0.9999999999999791,-0.40917402954042076,-0.5536675386735727,-0.7342844250900128,0.391224235435966,-14.423553049018306
V1_balanced,180,1.5,ALL,6713,6417,0.9559064501713094,0.3736948729936107,-0.01929868322853877,-0.9999999999999792,-0.4771878878408806,-0.6436930531544593,-0.8518245097964331,0.34960034884987284,-34.92237909621882
V1_balanced,180,2.0,2023,2067,1986,0.9608127721335269,0.3016112789526687,-0.07119484420655502,-0.9999999999999815,-0.7408104803658445,-0.9843070753328589,-1.2886778190416268,0.2517617048870493,-22.725517524080878
V1_balanced,180,2.0,2024,1717,1629,0.9487478159580663,0.34990791896869244,0.03035343315596282,-0.9999999999999862,-0.34576968127670565,-0.48254172288858505,-0.6535067749034343,0.49759496109955975,-13.598425910545274
V1_balanced,180,2.0,2025,1811,1729,0.9547211485367201,0.3435511856564488,-0.0006805748285575779,-0.9999999999999897,-0.32997473162415214,-0.4497180613680047,-0.5993972235478204,0.5201119239421158,-13.221535646511867
V1_balanced,180,2.0,2026,1118,1073,0.9597495527728086,0.33923578751164957,0.007910835923327425,-0.9999999999999863,-0.3894463141928406,-0.5339398233259927,-0.7145567097424326,0.45928885832078464,-12.178536120821978
V1_balanced,180,2.0,ALL,6713,6417,0.9559064501713094,0.33146330060776064,-0.013189279245130208,-0.9999999999999858,-0.47107848385747203,-0.6375836491710508,-0.8457151058130243,0.40333226861600385,-31.607321620319134
V2_clearer_macro,30,1.0,2023,1511,1312,0.8682991396426207,0.36585365853658536,-0.034107709158664325,-0.7431153184157561,-0.6387231704344816,-0.8585833381711425,-1.1334085478419684,0.1734236342460265,-17.309917624747122
V2_clearer_macro,30,1.0,2024,1289,1141,0.8851823118696664,0.4750219106047327,0.026582500881638906,0.46811955168118713,-0.32180608757683316,-0.44849284701627745,-0.606851296315583,0.3780920061007934,-14.483573830921218
V2_clearer_macro,30,1.0,2025,1331,1168,0.8775356874530428,0.4580479452054795,-0.02104493437352537,-0.4043609183526175,-0.3240511355994556,-0.43423520877252103,-0.5719653002388531,0.3973518945977211,-14.357254797056687
V2_clearer_macro,30,1.0,2026,843,725,0.8600237247924081,0.4289655172413793,-0.03131862147914486,-0.5182320441988996,-0.40014303647618404,-0.5342610055660165,-0.701908466928307,0.3216740591423442,-13.361432534126992
V2_clearer_macro,30,1.0,ALL,4974,4346,0.8737434660233213,0.42982052462034054,-0.014198151134577832,-0.1299732982120635,-0.4311507071699503,-0.5827698184555402,-0.7722937075625278,0.2961275320681324,-28.835615644122434
V2_clearer_macro,30,1.5,2023,1511,1312,0.8682991396426207,0.34527439024390244,-0.06507709265542715,-0.9999999999999756,-0.6696925539312445,-0.8895527216679052,-1.1643779313387315,0.23661728416181735,-16.845757683501894
V2_clearer_macro,30,1.5,2024,1289,1141,0.8851823118696664,0.4057843996494303,0.02862769122283306,-0.9999999999999774,-0.319760897235639,-0.44644765667508335,-0.6048061059743889,0.4699334191774718,-12.143426004492259
V2_clearer_macro,30,1.5,2025,1331,1168,0.8775356874530428,0.3835616438356164,-0.04133565815373321,-0.9999999999999861,-0.3443418593796634,-0.45452593255272883,-0.5922560240190607,0.46379414812857284,-12.748604125939458
V2_clearer_macro,30,1.5,2026,843,725,0.8600237247924081,0.3724137931034483,-0.03126746088824702,-0.9999999999999799,-0.4000918758852863,-0.5342098449751186,-0.7018573063374092,0.40468705704213087,-11.474353922851465
V2_clearer_macro,30,1.5,ALL,4974,4346,0.8737434660233213,0.37597791072250347,-0.028455109927797373,-0.9999999999999802,-0.44540766596316983,-0.5970267772487599,-0.7865506663557471,0.37182682056496963,-26.49336627718327
V2_clearer_macro,30,2.0,2023,1511,1312,0.8682991396426207,0.3132621951219512,-0.06872246703857986,-0.9999999999999833,-0.6733379283143971,-0.893198096051058,-1.168023305721884,0.27962189843479107,-16.154115846920508
